infant deaths,Alcohol,Hepatitis B,Measles,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Life expectancy
62,0.01,65,1154,19.1,6,65,0.1,584.25921,65
64,0.01,62,492,18.6,58,62,0.1,612.696514,59.9
66,0.01,64,430,18.1,62,64,0.1,631.744976,59.9
69,0.01,67,2787,17.6,67,67,0.1,669.959,59.5
71,0.01,68,3013,17.2,68,68,0.1,63.537231,59.2
74,0.01,66,1989,16.7,66,66,0.1,553.32894,58.8
77,0.01,63,2861,16.2,63,63,0.1,445.8932979,58.6
80,0.03,64,1599,15.7,64,64,0.1,373.3611163,58.1
82,0.02,63,1141,15.2,63,63,0.1,369.835796,57.5
84,0.03,64,1990,14.7,58,58,0.1,272.56377,57.3
85,0.02,66,1296,14.2,58,58,0.1,25.2941299,57.3
87,0.02,67,466,13.8,5,5,0.1,219.1413528,57
87,0.01,65,798,13.4,41,41,0.1,198.7285436,56.7
88,0.01,64,2486,13,36,36,0.1,187.84595,56.2
88,0.01,63,8762,12.6,35,33,0.1,117.49698,55.3
88,0.01,62,6532,12.2,24,24,0.1,114.56,54.8
0,4.6,99,0,58,99,99,0.1,3954.22783,77.8
0,4.51,98,0,57.2,98,98,0.1,4575.763787,77.5
0,4.76,99,0,56.5,99,99,0.1,4414.72314,77.2
0,5.14,99,9,55.8,99,99,0.1,4247.61438,76.9
0,5.37,99,28,55.1,99,99,0.1,4437.17868,76.6
1,5.28,99,10,54.3,99,99,0.1,494.358832,76.2
1,5.79,98,0,53.5,98,98,0.1,4114.136545,76.1
1,5.61,99,0,52.6,99,99,0.1,437.539647,75.3
1,5.58,98,22,51.7,99,98,0.1,363.13685,75.9
1,5.31,98,68,5.8,97,97,0.1,35.1293,74.2
1,5.16,98,6,49.9,97,98,0.1,279.142931,73.5
1,4.54,99,7,48.9,98,97,0.1,2416.588235,73
1,4.29,97,8,47.9,97,97,0.1,189.681557,72.8
1,3.73,96,16,46.9,98,98,0.1,1453.642777,73.3
